제목,내용,기자,날짜
공공기관 ‘개인정보 관리수준 진단’ 대폭 강화한다,"개인정보보호위원회(위원장 고학수, 이하 ‘개인정보위’)는 11월 11일(금), 서울 종로구 정부서울청사에서 ‘2022년 공공기관 개인정보 관리수준 진단위원...",원병철 기자,2022년 11월 10일 15:09
삼성 스마트폰에서 세 가지 제로데이 취약점 발견돼,보안 블로그 시큐리티어페어즈가 구글 프로젝트 제로 팀의 발표를 인용해 삼성 스마트폰에서 세 가지 제로데이 취약점이 발견됐다고 보도했다. 이 취약점은 CVE...,문가용 기자,2022년 11월 10일 13:30
아웃룩과 선더버드 계정 훔치는 스트렐라스틸러 멀웨어, IT 외신인 블리핑컴퓨터에 의하면 스트렐라스틸러(StrelaStealer)라는 새로운 멀웨어가 등장했다고 한다. 아웃룩과 선더버드(Thunderbird)...,문가용 기자,2022년 11월 10일 13:29
"APT29, 유럽의 외교 단체들 공격하기 위해 윈도 익스플로잇",보안 외신 해커뉴스에 의하면 러시아의 APT 단체로 알려진 APT29가 잘 알려지지 않은 윈도 기능 중 하나인 크리덴셜로밍(Credential Roamin...,문가용 기자,2022년 11월 10일 13:27
디지털산업 활력 위해 12개 규제 혁신한다,과학기술정보통신부는 지난 9일 제2차 규제혁신전략회의(총리 주재)에서 ‘디지털산업 활력 제고 규제 혁신 방안’을 발표했다. 디지털 기술의 빠른 변화와 심화...,박미영 기자,2022년 11월 10일 11:20
"사이버보안 위협 급증하는 미래자동차, 국내 기업 3사의 보안 대응전략은? ",유엔유럽경제위원회(UNECE)는 올해 7월부터 유럽에서 생산되는 모든 자동차에 사이버보안을 위한 기술적 조치를 의무화할 것을 규정했다. 이렇듯 전 세계적으...,김영명 기자,2022년 11월 09일 23:09
"BEC 공격자이자 인스타그램 인플루언서, 11년형 선고 받아",나이지리아의 인스타그램 인플루언서인 허시퍼피(Hushpuppi)가 미국에서 11년 형을 선고받았다고 영국 일간지 BBC가 보도했다. 허시퍼피는 인스타그램에...,문가용 기자,2022년 11월 09일 16:58
"파이선 개발자들 노리는 악성 패키지들, 암호화폐 노린다","파이선 개발자들을 노리는 악성 파이선 패키지가 돌아다니는 중이라는 경고가 보안 외신 핵리드로부터 나왔다. 이 악성 패키지들은 수가 수십 개에 달하며, 전부...",문가용 기자,2022년 11월 09일 16:57
"아마디봇, 록빗3.0 랜섬웨어 유포 중",보안 외신 해커뉴스에 의하면 악명 높은 봇넷인 아마디봇(Amadey Bot)이 최근 유명 랜섬웨어인 록빗3.0(LockBit 3.0)과 손을 잡은 것으로 ...,문가용 기자,2022년 11월 09일 16:55
구글 크롬의 원격 제어 가능하게 해 주는 악성 플러그인 ,"IT 외신 블리핑컴퓨터에 의하면 크로미움 생태계에 악성 봇이 등장했다고 한다. 이 봇의 이름은 클라우드나인(Cloud9)이며, 악성 플러그인들을 피해자의 ...",문가용 기자,2022년 11월 09일 16:54
정보보안 꿈나무를 위한 ‘사이버 가디언즈 콘퍼런스’ 성료,과학기술정보통신부(장관 이종호)와 한국정보기술연구원(원장 유준상)은 11월 9일(수)에 서울 영등포구에 위치한 루나미엘레 그랜드볼룸에서 ‘2022 사이버 ...,원병철 기자,2022년 11월 10일 15:23
"산업부, 데이터센터 수도권 집중 완화 방안 마련","산업통상자원부는 지난 9일 이호현 전력혁신정책관 주재로 한전 등 공공기관, 민간 전문가 및 업계 종사자 등이 참석하는 ‘데이터센터 지역 분산 간담회’를 개...",박미영 기자,2022년 11월 10일 11:02
"산업부 수출현장지원단, ICT 분야 수출 확대 방안 모색",산업통상자원부 수출현장지원단은 지난 9일 ICT 기업들의 수출 확대 지원을 위한 9차 간담회를 개최했다. 이번 간담회에는 소프트웨어·스마트시티·교통시스템·...,박미영 기자,2022년 11월 10일 10:59
"과기정통부, ‘글로벌 ICT 표준 컨퍼런스’ 개최","과학기술정보통신부는 지난 9일부터 11일까지 ‘글로벌 ICT 표준 컨퍼런스 2022(GISC 2022, Global ICT Standards Confere...",박미영 기자,2022년 11월 10일 10:56
"효성인포메이션시스템, ‘히타치 밴타라’ 가트너 매직 쿼드런트 프라이머리 스토리지 부문 리더 선정",데이터 인프라 및 솔루션 전문기업 효성인포메이션시스템(대표 양정규)은 ‘2022 가트너 매직 쿼드런트(Gartner® Magic Quadrant) 프라이머...,엄호식 기자,2022년 11월 10일 10:53
"검역본부, 빅데이터를 활용한 가축방역시스템 고도화 추진","농림축산검역본부는 국가재난형 가축전염병을 사전에 예방하고, 확산을 방지하기 위해 현재 운영하고 있는 국가가축방역통합시스템(KAHIS)을 빅데이터·인공지능 ...",박미영 기자,2022년 11월 10일 10:51
"문체부, 다중 이용 문화시설 52개소 특별 안전 점검 실시",문화체육관광부는 지난 9일부터 12월 8일까지 문체부 소관 다중 이용 문화시설에 대한 특별 안전 점검을 실시한다. 정부가 이태원 사고의 후속 조치로 실시하...,박미영 기자,2022년 11월 10일 10:50
"문체부, ‘2022 문화데이터 활용 경진대회 및 개방 우수기관 시상식’ 개최",문화체육관광부는 한국문화정보원과 함께  10일 ‘2022 문화데이터 활용 경진대회 및 개방 우수기관 시상식’을 개최했다. 행사에서는 제10회 경진대회 수상...,박미영 기자,2022년 11월 10일 10:45
"LG전자, 전장사업 디지털 전환으로 자동차 부품 품질 높인다","LG전자가 디지털 전환(DX, Digital Transformation)을 자동차 부품 개발 과정에 도입해 제품 품질을 향상시키고 전장사업 성장을 가속화한...",박미영 기자,2022년 11월 10일 10:31
"인천공항공사, 2022 대한민국 항공보안 경진대회 및 세미나 개최",인천국제공항공사(사장 김경욱)는 공사 인재개발원에서 국내 항공보안 전문가와 전국 공항의 우수 항공보안요원 300여명이 모인 가운데 ‘2022 대한민국 항공...,김영명 기자,2022년 11월 10일 10:30
"LG유플러스 서비스·플랫폼에 양자내성암호, 물리적 복제 방지 기술 이중 보안 적용",LG유플러스가 사물인터넷(IoT) 보안 전문 기업 ICTK홀딩스와 함께 개발한 양자 보안칩 적용 서비스 분야를 대폭 확대한다. 이를 위해 양사는 업무협약을...,박미영 기자,2022년 11월 10일 09:55
"삼성전자, 스마트싱스 홈 IoT 솔루션 적용 아파트 10만세대 돌파",삼성전자의 스마트싱스(SmartThings) 기반 홈 IoT 솔루션을 적용한 스마트 아파트가 10만세대를 돌파했다. 이는 국내 가전 업체로서는 가장 큰 규...,박미영 기자,2022년 11월 10일 09:54
"카카오, 전통시장의 디지털전환 돕는 프로젝트 확대 실시",카카오의 기업재단 카카오임팩트가 지난 9일 전통시장 소상공인의 디지털 전환과 소통을 돕는 ‘우리 동네 단골시장’ 대상을 전국 전통시장 10곳으로 확대했다고...,박미영 기자,2022년 11월 10일 09:51
"한국지질자원연구원, 데이터 품질인증 ‘최고 등급’ 획득",한국지질자원연구원(KIGAM)이 운영하는 ‘지오빅데이터 오픈 플랫폼’이 한국데이터산업진흥원의 데이터 품질인증(DQC-V) 심사에서 최고 등급인 ‘플래티넘 ...,박미영 기자,2022년 11월 10일 09:46
"천안시, 공간정보시스템 활용·보안 교육 실시",천안시가 지난 9일부터 10일까지 이틀간 신규 임용 공무원 등을 대상으로 ‘2022 공간정보시스템 활용 및 보안 관리 교육’을 실시했다. 공간정보시스템은 ...,박미영 기자,2022년 11월 10일 09:45
"심폐소생술 교육, 가까운 소방서로 신청하세요",세종시민 중 심폐소생술 교육을 받고 싶은 이들은 가까운 소방서를 방문하면 된다. 세종소방본부는 현재 관내 소방서 8곳에서 심폐소생술 상설 교육을 진행 중이...,박미영 기자,2022년 11월 10일 09:40
"세종시, 드론 기술 고도화로 신성장동력 마련한다",드론실증도시 세종시가 드론서비스 기술력 고도화로 상용화 실증을 위한 시험무대(테스트베드)로 도약하고 있다. 시는 ‘2022년 드론실증도시 구축 사업’ 최종...,박미영 기자,2022년 11월 10일 09:33
"교통안전공단, AI 영상분석 기반 첨단 단말기 및 관제시스템 시범 운영",한국교통안전공단은 위험물 운송차량 교통사고 관리 방안의 표준을 마련하고 기술을 고도화하기 위해 지난 9일 에이아이매틱스와 ‘AI 영상분석 기반 첨단 단말장...,박미영 기자,2022년 11월 10일 09:29
"DSEC 2022, 대구·경북 지역 사이버보안 위협과 대응 전략 논의의 장 마련",제8회 대구 사이버보안 콘퍼런스 2022(이하 ‘DSEC 2022’)가 10일 대구 엑스코(EXCO)에서 개최된다. 올해 DSEC 2022 주제는 ‘사이버...,김영명 기자,2022년 11월 09일 18:09
다크웹에 호주 국민 건강 기록 유출돼,보안 외신 시큐리티위크에 의하면 이번 주 수요일부터 다크웹의 한 공격 단체가 호주 건강 보험사의 내부 정보를 유출하기 시작했다고 한다. 해당 기업은 1천만...,문가용 기자,2022년 11월 09일 16:53
